record_id,fp_sample_index,category,description
data/1,6,startup_transient,Detected at sample 6 (<1.0s) during filter and adaptive threshold settling
data/1,2314,baseline_wander,Detected at sample 2314 with nearest true beat at 1984 (dist 1320ms)
data/2,2,startup_transient,Detected at sample 2 (<1.0s) during filter and adaptive threshold settling
data/2,62,startup_transient,Detected at sample 62 (<1.0s) during filter and adaptive threshold settling
data/2,2345,baseline_wander,Detected at sample 2345 with nearest true beat at 2109 (dist 944ms)
data/3,98,startup_transient,Detected at sample 98 (<1.0s) during filter and adaptive threshold settling
data/3,2350,baseline_wander,Detected at sample 2350 with nearest true beat at 2118 (dist 928ms)
data/4,8,startup_transient,Detected at sample 8 (<1.0s) during filter and adaptive threshold settling
data/4,2474,baseline_wander,Detected at sample 2474 with nearest true beat at 2230 (dist 976ms)
data/5,223,startup_transient,Detected at sample 223 (<1.0s) during filter and adaptive threshold settling
data/5,500,cross_window_boundary,Detected at sample 500 near SQI 2-second window boundary 500
data/5,2300,baseline_wander,Detected at sample 2300 with nearest true beat at 2042 (dist 1032ms)
data/6,1,startup_transient,Detected at sample 1 (<1.0s) during filter and adaptive threshold settling
data/6,84,startup_transient,Detected at sample 84 (<1.0s) during filter and adaptive threshold settling
data/6,2442,baseline_wander,Detected at sample 2442 with nearest true beat at 2147 (dist 1180ms)
data/7,2,startup_transient,Detected at sample 2 (<1.0s) during filter and adaptive threshold settling
data/7,238,startup_transient,Detected at sample 238 (<1.0s) during filter and adaptive threshold settling
data/7,2431,baseline_wander,Detected at sample 2431 with nearest true beat at 2176 (dist 1020ms)
data/8,133,startup_transient,Detected at sample 133 (<1.0s) during filter and adaptive threshold settling
data/8,189,startup_transient,Detected at sample 189 (<1.0s) during filter and adaptive threshold settling
data/8,399,t_wave_misdetection,Occurred 184ms after true R-peak at 353 (typical T-wave window)
data/8,608,t_wave_misdetection,Occurred 184ms after true R-peak at 562 (typical T-wave window)
data/8,1426,t_wave_misdetection,Occurred 184ms after true R-peak at 1380 (typical T-wave window)
data/8,1638,t_wave_misdetection,Occurred 188ms after true R-peak at 1591 (typical T-wave window)
data/8,1847,t_wave_misdetection,Occurred 184ms after true R-peak at 1801 (typical T-wave window)
data/8,2059,t_wave_misdetection,Occurred 184ms after true R-peak at 2013 (typical T-wave window)
data/8,2269,t_wave_misdetection,Occurred 152ms after true R-peak at 2231 (typical T-wave window)
data/8,2424,baseline_wander,Detected at sample 2424 with nearest true beat at 2231 (dist 772ms)
data/8,2480,baseline_wander,Detected at sample 2480 with nearest true beat at 2231 (dist 996ms)
data/9,166,startup_transient,Detected at sample 166 (<1.0s) during filter and adaptive threshold settling
data/9,2287,baseline_wander,Detected at sample 2287 with nearest true beat at 2063 (dist 896ms)
data/10,103,startup_transient,Detected at sample 103 (<1.0s) during filter and adaptive threshold settling
data/10,2305,baseline_wander,Detected at sample 2305 with nearest true beat at 2057 (dist 992ms)
data/11,137,startup_transient,Detected at sample 137 (<1.0s) during filter and adaptive threshold settling
data/11,2388,baseline_wander,Detected at sample 2388 with nearest true beat at 2140 (dist 992ms)
data/12,1,startup_transient,Detected at sample 1 (<1.0s) during filter and adaptive threshold settling
data/12,133,startup_transient,Detected at sample 133 (<1.0s) during filter and adaptive threshold settling
data/12,196,startup_transient,Detected at sample 196 (<1.0s) during filter and adaptive threshold settling
data/12,2381,baseline_wander,Detected at sample 2381 with nearest true beat at 2103 (dist 1112ms)
