record_id,status,QFN,QFP,float_fixed_mismatch_count,reason
data/1,evaluated,0,1,8,QRS miss/false-positive or float/fixed mismatch
data/2,evaluated,0,1,12,QRS miss/false-positive or float/fixed mismatch
data/3,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/4,evaluated,0,0,11,QRS miss/false-positive or float/fixed mismatch
data/5,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/6,evaluated,0,2,10,QRS miss/false-positive or float/fixed mismatch
data/7,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/8,evaluated,0,2,21,QRS miss/false-positive or float/fixed mismatch
data/9,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/10,evaluated,0,2,2,QRS miss/false-positive or float/fixed mismatch
data/11,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/12,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/13,evaluated,0,4,9,QRS miss/false-positive or float/fixed mismatch
data/14,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/15,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/16,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/17,evaluated,0,2,13,QRS miss/false-positive or float/fixed mismatch
data/18,evaluated,0,1,14,QRS miss/false-positive or float/fixed mismatch
data/19,evaluated,0,2,2,QRS miss/false-positive or float/fixed mismatch
data/20,evaluated,0,2,7,QRS miss/false-positive or float/fixed mismatch
data/21,evaluated,0,2,14,QRS miss/false-positive or float/fixed mismatch
data/22,evaluated,0,1,13,QRS miss/false-positive or float/fixed mismatch
data/23,evaluated,0,2,4,QRS miss/false-positive or float/fixed mismatch
data/24,evaluated,0,5,18,QRS miss/false-positive or float/fixed mismatch
data/25,evaluated,0,2,10,QRS miss/false-positive or float/fixed mismatch
data/26,evaluated,0,2,2,QRS miss/false-positive or float/fixed mismatch
data/27,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/28,evaluated,0,2,9,QRS miss/false-positive or float/fixed mismatch
data/29,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/30,evaluated,0,1,10,QRS miss/false-positive or float/fixed mismatch
data/31,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/32,evaluated,0,1,1,QRS miss/false-positive or float/fixed mismatch
data/33,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/34,evaluated,0,2,18,QRS miss/false-positive or float/fixed mismatch
data/35,evaluated,0,2,16,QRS miss/false-positive or float/fixed mismatch
data/36,evaluated,0,2,8,QRS miss/false-positive or float/fixed mismatch
data/37,evaluated,0,1,12,QRS miss/false-positive or float/fixed mismatch
data/38,evaluated,0,1,1,QRS miss/false-positive or float/fixed mismatch
data/39,evaluated,0,1,1,QRS miss/false-positive or float/fixed mismatch
data/40,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/41,evaluated,0,1,8,QRS miss/false-positive or float/fixed mismatch
data/42,evaluated,0,1,10,QRS miss/false-positive or float/fixed mismatch
data/43,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/44,evaluated,0,2,23,QRS miss/false-positive or float/fixed mismatch
data/45,evaluated,0,2,28,QRS miss/false-positive or float/fixed mismatch
data/46,evaluated,0,2,13,QRS miss/false-positive or float/fixed mismatch
data/47,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/48,evaluated,0,2,10,QRS miss/false-positive or float/fixed mismatch
data/49,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/50,evaluated,0,2,1,QRS miss/false-positive or float/fixed mismatch
data/51,evaluated,0,3,21,QRS miss/false-positive or float/fixed mismatch
data/52,evaluated,0,1,12,QRS miss/false-positive or float/fixed mismatch
data/53,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/54,evaluated,0,1,9,QRS miss/false-positive or float/fixed mismatch
data/55,evaluated,0,2,11,QRS miss/false-positive or float/fixed mismatch
data/56,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/57,evaluated,0,1,14,QRS miss/false-positive or float/fixed mismatch
data/58,evaluated,0,1,1,QRS miss/false-positive or float/fixed mismatch
data/59,evaluated,0,4,15,QRS miss/false-positive or float/fixed mismatch
data/60,evaluated,0,1,10,QRS miss/false-positive or float/fixed mismatch
data/61,evaluated,0,2,2,QRS miss/false-positive or float/fixed mismatch
data/62,evaluated,0,2,2,QRS miss/false-positive or float/fixed mismatch
data/63,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/64,evaluated,0,2,22,QRS miss/false-positive or float/fixed mismatch
data/65,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/66,evaluated,0,2,9,QRS miss/false-positive or float/fixed mismatch
data/67,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/68,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/69,evaluated,0,1,14,QRS miss/false-positive or float/fixed mismatch
data/70,evaluated,0,1,15,QRS miss/false-positive or float/fixed mismatch
data/71,evaluated,0,1,10,QRS miss/false-positive or float/fixed mismatch
data/72,evaluated,0,2,17,QRS miss/false-positive or float/fixed mismatch
data/73,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/74,evaluated,8,0,15,QRS miss/false-positive or float/fixed mismatch
data/75,evaluated,0,1,11,QRS miss/false-positive or float/fixed mismatch
data/76,evaluated,0,1,13,QRS miss/false-positive or float/fixed mismatch
data/77,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/78,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/79,evaluated,0,1,10,QRS miss/false-positive or float/fixed mismatch
data/80,evaluated,0,1,13,QRS miss/false-positive or float/fixed mismatch
data/81,evaluated,0,1,13,QRS miss/false-positive or float/fixed mismatch
data/82,evaluated,0,1,4,QRS miss/false-positive or float/fixed mismatch
data/83,evaluated,0,2,17,QRS miss/false-positive or float/fixed mismatch
data/84,evaluated,0,2,12,QRS miss/false-positive or float/fixed mismatch
data/85,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/86,evaluated,0,2,15,QRS miss/false-positive or float/fixed mismatch
data/87,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
data/88,evaluated,0,2,15,QRS miss/false-positive or float/fixed mismatch
data/89,evaluated,0,1,4,QRS miss/false-positive or float/fixed mismatch
data/90,evaluated,0,2,20,QRS miss/false-positive or float/fixed mismatch
data/91,evaluated,0,2,14,QRS miss/false-positive or float/fixed mismatch
data/92,evaluated,0,1,16,QRS miss/false-positive or float/fixed mismatch
data/93,evaluated,0,2,17,QRS miss/false-positive or float/fixed mismatch
data/94,evaluated,0,2,0,QRS miss/false-positive or float/fixed mismatch
